latitude_band_far_north,latitude_band_far_south,latitude_band_mid_north,latitude_band_mid_south,latitude_band_near_equator_north,latitude_band_near_equator_south,longitude_band_east_1,longitude_band_east_2,longitude_band_east_3,longitude_band_west_1,longitude_band_west_2,longitude_band_west_3,depth_category_above_reference,depth_category_deep,depth_category_intermediate,depth_category_shallow,type_earthquake,type_experimental explosion,type_explosion,type_ice quake,type_landslide,type_mining explosion,type_other event,type_quarry blast,status_automatic,status_reviewed,net_ak,net_av,net_ci,net_hv,net_mb,net_nc,net_nm,net_pr,net_se,net_tx,net_us,net_uu,net_uw,latitude,longitude,absolute_latitude,absolute_longitude,north_south,east_west,depth_signed_log,gap,nst_log,dmin_log,rms_log,horizontalError_log,depthError_log,total_location_error_log,station_coverage,gap_per_station,distance_per_station,error_per_station,mag
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6741720323547442,0.1754034614507719,0.4131487775845037,0.6449083883156828,1.0,0.0,0.5291685324063369,0.1923076923076923,0.5774814255279357,0.01738363017738824,0.06005538023735053,0.04535459625348018,0.07953240250957912,0.05568669520048664,0.021367521367521368,0.00957392782372572,0.0009815360094287573,0.00234778749101145,0.38
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7671018368239335,0.1834748206009703,0.5805253528542874,0.6285864488759776,1.0,0.0,0.47360364258282356,0.3136094674556213,0.36857068284431604,0.03939539177727037,0.03585381626401955,0.04888837177920242,0.1826161960176414,0.1447406036009756,0.00392156862745098,0.048487604419293985,0.007533934034293941,0.018147568674639326,1.19
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7090905244018799,0.1587698859673934,0.4760407383049472,0.6785448808386051,1.0,0.0,0.3377920118437415,0.19822485207100593,0.570529748965358,0.0011183119984683704,0.01566386394731168,0.03994470823561827,0.06705274147702324,0.04368133976333154,0.02,0.010229048773915386,6.371886166739506e-05,0.00202402483389804,0.45
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708544514166918,0.15890371401068476,0.47505731513180943,0.6782742531565397,1.0,0.0,0.31642765143167273,0.15384615384615385,0.5218871814343533,0.0014444630176541045,0.020783924522018698,0.041762887407445715,0.061500385535697484,0.04050158729067025,0.018461538461538463,0.010917046050858753,0.0001083575413249698,0.0026102744937216834,0.27
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7452409520416482,0.18872514016750086,0.5411515475597828,0.6179692286024994,1.0,0.0,0.4065342240466728,0.7514792899408285,0.454624531246497,0.10658780262499043,0.09218170999286376,0.21185584570372215,0.6441805450179663,0.5738409486407823,0.0029962546816479398,0.06734137595091515,0.014276617749714744,0.12269592670084449,1.22
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6850160231253557,0.17260326014373967,0.432679971562684,0.6505709682234595,1.0,0.0,0.4341250643370267,0.13313609467455623,0.6493481016376408,0.015248190597744066,0.08319976366011216,0.03811131399848285,0.08973885837770976,0.06115410225882723,0.04367816091954023,0.004622432269966627,0.0005716975124929057,0.001557457772468615,1.23
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8535170566772273,0.07454990711685489,0.7361684603895584,0.8488549077908749,1.0,0.0,0.7891602354163599,0.2751479289940828,0.6197385950359325,0.0,0.2490653323192052,0.4032447911923191,0.33051874867528236,0.4116277303083003,0.02012578616352201,0.010301070527424608,0.0,0.026318686056225917,1.9
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7090711845953859,0.15869580155264612,0.47600590523286845,0.6786946946814076,1.0,0.0,0.32716571122590554,0.28698224852071,0.36857068284431604,0.003281440126299129,0.005272900689314911,0.08883308001482068,0.21543255936520955,0.180125760363672,0.004242424242424242,0.044773982753974664,0.0005866153371551968,0.025587569925650987,0.74
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6624476000802635,0.21305776425852135,0.392031813739651,0.5687636847241818,1.0,0.0,0.406905404835557,0.2011834319526627,0.4677598011511463,0.025854882798229718,0.09661623082510096,0.15482070150629698,0.24313524717020712,0.2203262166375537,0.010699588477366254,0.018660738345459445,0.002754385900482201,0.020795284751264662,1.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7491654006054366,0.19103031663622422,0.5482199016167107,0.6133076901899246,1.0,0.0,0.4753304629560817,0.5236686390532544,0.34490290686970765,0.011909349701013396,0.1430933603068229,0.25346032955037273,0.19799063962466068,0.2551986790062077,0.002105263157894737,0.08892481810832659,0.002472336784272824,0.05219695850688562,-0.23
